Member States,Competition legislation,Competition authority,"Chapter I: Objectives or purpose of the law
Objectives or purpose of competition law (Article)","Chapter I: Objectives or purpose of the law
Agency activities including Guidelines clarifying considerations on other objectives than the traditional objectives"
Brunei Darussalam,Brunei Competition Act (Chapter 253),Competition Commission of Brunei Darussalam,"The long title of the Competition Act states:
An Act to promote and protect competition in markets in Brunei Darussalam, to promote economic efficiency, economic development and consumer welfare.

Article 4 further clarifies that the Competition Commission shall (a) enhance efficient market conduct and promote overall productivity, innovation and competitiveness of markets in Brunei Darussalam; (b) promote and sustain competition in markets in Brunei Darussalam.","Competition law enforcement and advocacy activities have been primarily relying on the objectives specified in the Competition Act, which is to promote and protect:  competition in markets in Brunei Darussalam, economic efficiency, economic development, and consumer welfare, among other things.

However, the Competition Commission of Brunei Darussalam (CCBD) does emphasize on the benefits that competition law can bring in terms of competitiveness of MSMEs and technological development when conducting advocacy sessions to the key stakeholders."
Cambodia,Law on Competition,Cambodia Competition Commission,"Article 1 (Royal Kram No. NS/RKM/1021/013)
This law governs any activities that prevent, restrict or distort competition, and establishes and determines the authority of the Cambodia Competition Commission in order to encourage fair and honest business relations, increase economic efficiency, encourage new businesses, and help consumers to access high-quality, low-cost, diverse and versatile products and services. ",
Indonesia,Law number 5 year 1999 concerning the Prohibition of Monopolistic Practice and Unfair Business Competition,Indonesia Competition Commission,"Article 2
Business actors in Indonesia must conduct their business activities based on the principles of economic democracy, with due observance of the equilibrium between the interests of business actors and the public interest.

Article 3
The purposes of enacting this law shall be as follows:
a. safeguard the public interest and enhance the efficiency of the national economy as one of the endeavours aimed at improving the people’s welfare;
b. create a conducive business climate by regulating fair business competition in order to ensure certainty in equal business opportunities for large-, middle- as well as small-scale business actors;
c. prevent monopolistic practices and or unfair business competition caused by business actors; and
d. creating effectiveness and efficiency in business activities.","All actions, be it law enforcement or other activities, will ultimately be based on the objectives of the law as stated in Article 2 and 3 of the Act. Especially the importance of the MSME sector protection has been highlighted by the approach taken in Decision No. 03/KPPU-L-I/2000 regarding alleged violations committed by PT Indomarco Prismatama, one of the major retail companies in Indonesia.

The tribunal decided that PT Indomarco:
• in its business development did not pay attention to the principle of balance in accordance with the principles of economic democracy in foster healthy competition between the interests of business actors and public interest;
• and was ordered to stop its expansion in traditional markets directly facing small retailers in order to realise a balance of competition between large business actors, medium actors and small business actors.

For the assessment of mergers and acquisitions, various other factors beyond the traditional ones are considered in the analysis.

According to KPPU Regulation No. 3 of 2019 on Assessment on Merger or Consolidation or Share Acquisition of Business Entities that May Result in Monopolistic Practices and Unfair Business Competition, such factors include:
• bankruptcy,
• policies to increase competitiveness and strengthen national industry,
• technology development and innovation,
• protection of micro, small and medium enterprises,
• the impact on labour, and
• implementation of laws and regulations."
Lao People's Democratic Republic (the),Law on Competition (No. 60/NA),Lao Competition Commission,"Article 1 Objectives
This Law determines principles, regulations and measures for managing and monitoring the competition in business activities in order to make such competition lawful, fair, transparent, flexible and equal, and aims to prevent and counter the unfair  competition and the restriction of the business competition as well as to protect rights and interests of the State, business operators and consumers, which contributes to regional and international integration, and the expansion and sustainability of the national socio-economic development.

The state policy on competition is further clarified in Article 4 of the Act:
The State recognizes and protects the rights of all economic sectors in competition for operating their activities under equal, fair competitive conditions as stipulated in the laws and regulations.
The State facilitates a free competition under by-law and does not allow any authority to impede or create barriers to competition.
The State promotes competition and encourages all sectors in the society participating in raising awareness of fair competition culture so as to prevent and counter the unfair competition and the restraint of competition.
The State creates conditions for and enhances the capacity of Small and Medium Enterprises (SMEs) to participate in the fair competition. ","The LCC's goal in enforcing the law is not only to create an environment for fair competition, but the authority also looks at the benefits to consumers and the overall economic and social stability."
Malaysia,Competition Act 2010 (Act 712),Malaysia Competition Commission,"Long title of the Competition Act 2010 and preamble:

An Act to promote economic development by promoting and protecting the process of competition, thereby protecting the interests of consumers and to provide for matters connected therewith. 

WHEREAS the process of competition encourages efficiency, innovation and entrepreneurship, which promotes competitive prices, improvement in the quality of products and services and wider choices for consumers.",
Myanmar,"Competition Law (No. 9, 2015)",Myanmar Competition Commission,"The competition law objectives in Myanmar are stated in Chapter II and further clarified in Chapter III.

Chapter II
Objective
3. The objectives of this Law are as follows:
(a) to protect and prevent acts that injure of public interests through monopolization or manipulation of prices by any individual or group with intent to endanger fair competition in economic activities, for the purpose of development of the national economy;
(b) to be able to control unfair market competition on the internal and external trade and economic development.
(c) to be able to prevent from abuse of dominant market power;
(d) to be able to control the restrictive agreements and arrangements among businesses.

Chapter III
Basic Principles
4. The basic principles of competition are as follows.
(a) ensuring to lead to the economic developed community in the Region and State by creating free and fair competition environment in the market;
(b) ensuring the businesses to uniform development and enjoy equally rights through encouragement of fair competition in the market;
(c) enabling to protect from the detriment to the interests of the pub+D119:D188ic by manipulation of price;
(d) ensuring to emerge free and fair competition in each area of business;
(e) ensuring to emerge economic community where it can carry out freely for international, regional and bilateral goods, services, investment, skilled labour and free flow of capital and to cooperate in competition network;
(f) implementing in the market in accordance with the competition policy;
(g) encouraging the innovative capability by protecting intellectual property rights of investors, inventors and producers.",
Philippines (the),Philippine Competition Act (Republic Act No. 10667),Philippine Competition Commission,"Section 2 Declaration of Policy
The efficiency of market competition as a mechanism for allocating goods and services is a generally accepted precept. The State recognizes that past measures undertaken to liberalize key sectors in the economy need to be reinforced by measures that safeguard competitive conditions. The State also recognizes that the provision of equal opportunities to all promotes entrepreneurial spirit, encourages private investments, facilitates technology development and transfer and enhances resource productivity. Unencumbered market competition also serves the interest of consumers by allowing them to exercise their right of choice over goods and services offered in the market.

Pursuant to the constitutional goals for the national economy to attain a more equitable distribution of opportunities, income, and wealth; a sustained increase in the amount of goods and services produced by the nation for the benefit of the people; and an expanding productivity as the key to raising the quality of life for all, especially the underprivileged and the constitutional mandate that the State shall regulate or prohibit monopolies when the public interest so requires and that no combinations in restraint of trade or unfair competition shall be allowed, the State shall:
(a) Enhance economic efficiency and promote free and fair competition in trade, industry and all commercial economic activities, as well as establish a National Competition Policy to be implemented by the Government of the Republic of the Philippines and all of its political agencies as a whole;
(b) Prevent economic concentration which will control the production, distribution, trade, or industry that will unduly stifle competition, lessen, manipulate or constrict the discipline of free markets; and
(c) Penalize all forms of anti-competitive agreements, abuse of dominant position and anti-competitive mergers and acquisitions, with the objective of protecting consumer welfare and advancing domestic and international trade and economic development. ","The Philippine Competition Commission’s (PCC) Competition Enforcement Office (CEO) has considered the competitiveness of MSMEs in the conduct of its investigation into water refilling stations and in recommending further steps. As an example, the Commission approved in June 2024 the written proposal for settlement of water refilling stations, who are considered MSMEs. The strategy to utilize show cause order proceedings in relation to this investigation considers that the entities are MSMEs.

In another investigation involving a primary agricultural product for which a Statement of Objections has been filed, one of the violations charged was on Section 15(g) of the Philippine Competition Act (PCA), or directly or indirectly imposing unfairly low purchase prices for the goods or services of, among others, marginalized agricultural producers, fisherfolk, micro-, small-, medium-scale enterprises, and other marginalized service providers and producers.

In July 2020, the PCC and the National Economic and Development Authority issued a joint memorandum on the National Competition Policy of the Philippines. The key elements of the National Competition Policy are:
• Pro-competitive policies and government interventions
• Competitive neutrality
• Enforcement of competition-related laws and issuances

The “whole-of-government” approach is also intended to assist in the economic recovery from the COVID-19 pandemic. The PCC has also issued guidance on the adoption and implementation of the National Competition Policy."
Thailand,Trade Competition Act B.E. 2560,Trade Competition Commission  of Thailand,"The relevant act does not provide for a provision that clearly sets out the objectives of the law.

However, Section 17 (3) of the Act speaks of the competition authority's duty to maintain free and fair competition.

The notes towards the end of the Act also state the need to increase ""free and fair competition"" as part of the reasons for passing the Act.",
Viet Nam,Competition Law (No. 23/2018/QH14),Vietnam Competition Commission,"Article 5(2)
Competition shall be practiced on the principles of honesty, equality and fairness, without infringing upon the interests of the State, public interests, and lawful rights and interests of enterprises and consumers.

Article 6 State policies on competition
1. To establish and maintain a healthy, fair, equal and transparent competitive environment.
2. To promote competition and guarantee enterprises’ right to free competition in doing business in accordance with law.
3. To enhance market accessibility, increase economic efficiency and social welfare, and protect consumer interests.
4. To create conditions for the society and consumers to participate in overseeing the implementation of the competition law. ",
